,Years,CH4(ppb),Temp(Celsius),Temp(Kelvin),CO2(ppm),years_workaround
444,38260.5,447.5,0.88,218.3,420.0,382.605
445,38268.5,440.4028598,0.88,218.3,420.0,382.685
446,38343.5,449.9,0.88,218.3,420.0,383.435
447,38420.8,429.0,0.88,218.3,420.0,384.208
448,38475.0,420.1,0.88,218.3,420.0,384.75
449,38685.6,413.0,0.88,218.3,420.0,386.856
450,38698.6,418.5,0.88,218.3,420.0,386.986
451,38853.9,426.2,0.88,218.3,420.0,388.539
452,38897.8,446.9,0.88,218.3,420.0,388.978
453,38909.7,422.3833333,0.88,218.3,420.0,389.097
454,39000.9,433.3,0.88,218.3,420.0,390.009
455,39107.6,419.7,0.88,218.3,420.0,391.07599999999996
456,39118.5,433.9,0.88,218.3,420.0,391.185
457,39159.5,433.4,0.88,218.3,420.0,391.595
458,39215.6,441.68,0.88,218.3,420.0,392.156
459,39273.0,457.4,0.88,218.3,420.0,392.73
460,39307.1,465.3,0.88,218.3,420.0,393.07099999999997
461,39315.1,461.9,0.88,218.3,420.0,393.151
462,39401.0,465.1,0.88,218.3,420.0,394.01
463,39419.9,464.6666667,0.88,218.3,420.0,394.199
464,39510.9,467.2,0.88,218.3,420.0,395.10900000000004
465,39736.8,458.1,0.88,218.3,420.0,397.36800000000005
466,39976.8,413.8794188,0.88,218.3,420.0,399.76800000000003
467,40101.3,429.0461436,0.88,218.3,420.0,401.01300000000003
468,40212.8,416.1,0.88,218.3,420.0,402.12800000000004
469,40346.2,415.111879,0.88,218.3,420.0,403.462
470,40546.1,455.9,0.88,218.3,420.0,405.461
471,40728.9,446.4,0.88,218.3,420.0,407.289
472,40889.4,471.4,0.88,218.3,420.0,408.894
473,40934.0,470.0,0.88,218.3,420.0,409.34
474,41086.0,486.3,0.88,218.3,420.0,410.86
475,41168.7,481.5,0.88,218.3,420.0,411.68699999999995
476,41395.2,463.0,0.88,218.3,420.0,413.952
477,41486.5,437.4,0.88,218.3,420.0,414.865
478,41639.7,415.43,0.88,218.3,420.0,416.397
479,41912.9,411.3333333,0.88,218.3,420.0,419.129
480,42212.2,430.6,0.88,218.3,420.0,422.12199999999996
481,42452.6,427.3333333,0.88,218.3,420.0,424.526
